"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse"
6,19,52,28,958,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,30,920,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,32,594,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,33,806,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,35,653,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,20,128,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,52,21,282,,,,,,,,,,,,,,,,,,,,,,,,,6,
6,19,52,22,436,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,52,23,591,,,,,,,,,,,,,,,,,,,,,,,,,3,
6,19,52,24,745,,,,,,,,,,,,,,,,,,,,,,,,,4,
6,19,52,25,899,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,52,27,53,,,,,,,,,,,,,,,,,,,,,,,,,4,
6,19,52,28,208,,,,,,,,,,,,,,,,,,,,,,,,,5,
6,19,52,29,362,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,52,30,516,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,52,32,825,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,52,33,979,,,,,,,,,,,,,,,,,,,,,,,,,4,
6,19,52,36,230,,,,,,,,,,,,,,,,,,,,,,,,,3,
6,19,52,36,865,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,38,192,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,43,52,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,44,541,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,46,734,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,47,600,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,48,61,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,48,234,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,49,273,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,37,500,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,52,39,808,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,52,40,905,,,,,,,,,,,,,,,,,,,,,,,,,3,
6,19,52,42,59,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,52,43,213,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,52,44,368,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,52,45,522,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,52,48,927,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,52,50,81,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,52,51,236,,,,,,,,,,,,,,,,,,,,,,,,,1,
6,19,52,53,660,,,,,,,,,,,,,,,,,,,,,,,,,2,
6,19,52,54,872,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,52,55,45,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,55,276,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,56,257,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,56,834,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,52,57,353,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,52,57,873,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,0,816,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,1,105,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,1,393,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,1,451,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,2,144,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,2,317,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,3,644,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,3,875,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,4,279,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,4,452,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,4,798,,,,,,,,,,,,,,,,,2,,,,,,,,,
6,19,53,5,260,,,,,,,,,,,,,,,,,,,,,,,,1,,
6,19,53,5,318,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,5,433,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,5,491,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,5,664,,,,,,,,,,,,,,,,,1,,,,,,,,,
6,19,53,6,184,,,,,,,,,,,,,,,,,,,,,,,,1,,
