"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL","COOR"
14,22,4,19,27,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
14,22,4,23,240,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,11,409,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,12,505,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
14,22,4,14,814,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,15,968,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
14,22,4,17,122,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
14,22,4,20,585,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
14,22,4,21,739,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,24,48,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,25,202,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
14,22,4,27,511,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,28,782,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,29,936,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
14,22,4,31,90,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,32,245,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,33,399,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,34,553,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,35,707,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
14,22,4,36,862,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,38,16,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,41,479,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
14,22,4,42,633,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
14,22,4,46,615,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,46,788,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,47,19,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,47,538,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,47,711,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,48,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,48,577,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,48,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,49,385,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,50,251,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,51,116,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,52,444,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,52,559,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,52,963,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,53,21,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
14,22,4,53,137,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,4,53,367,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
