"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL","COOR"
12,21,31,6,316,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,31,9,721,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12,21,31,9,894,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,11,106,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,13,126,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,16,531,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,18,436,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,18,494,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,18,955,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,19,590,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
12,21,31,19,821,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,20,52,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,20,450,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,22,418,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12,21,31,23,976,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,24,265,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,25,73,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,25,765,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,26,54,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,26,285,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,26,343,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,26,400,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,26,516,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,26,573,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,26,689,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
12,21,31,26,977,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,12,145,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,31,14,454,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,31,16,762,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12,21,31,22,533,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,31,23,688,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
12,21,31,27,93,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,31,27,382,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,27,901,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,28,16,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,28,132,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12,21,31,28,594,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,28,998,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,29,171,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,29,402,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,29,806,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,30,440,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,30,498,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,30,729,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,30,844,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12,21,31,31,75,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,31,133,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
12,21,31,31,248,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
12,21,31,31,999,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12,21,31,32,172,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,32,287,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,32,345,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12,21,31,32,403,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12,21,31,32,634,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,33,95,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,33,384,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
12,21,31,33,846,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,34,19,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,34,192,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,34,307,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,34,423,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,34,942,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,35,231,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,35,404,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,35,923,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,36,327,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,36,443,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,36,500,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,36,616,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,36,904,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,37,77,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,37,539,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,37,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
12,21,31,37,770,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,38,347,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,38,520,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
12,21,31,38,809,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12,21,31,38,867,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,38,982,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,39,40,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
12,21,31,39,444,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,39,501,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,39,617,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,39,790,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,39,905,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,39,963,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,40,21,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,40,136,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,40,194,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,40,252,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
12,21,31,40,771,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,40,829,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,40,944,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,41,117,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,41,175,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,41,464,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,41,752,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,41,925,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,42,618,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,42,907,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
12,21,31,42,964,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,43,484,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,43,541,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,43,888,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,44,119,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,44,407,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,44,465,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,41,233,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
12,21,31,44,696,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,44,754,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,44,811,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,45,215,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,45,273,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,45,446,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,45,504,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,45,562,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,45,735,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
12,21,31,45,792,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,45,908,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,46,81,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,46,196,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,46,254,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,46,485,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,46,600,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,46,831,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,46,889,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
12,21,31,47,466,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,47,582,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,47,697,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,47,870,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,48,505,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,48,678,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,48,851,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21,31,48,909,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
