downcast,hour,min,sec,s/1000,MUAT,LEMU,NABI,AGEL,COOR,FOED
10,22,31,2,486,0,0,0,1,0,0
10,22,31,6,468,0,0,1,0,0,0
10,22,31,12,355,1,0,0,0,0,0
10,22,31,13,394,1,0,0,0,0,0
10,22,31,13,971,0,0,1,0,0,0
10,22,31,15,356,1,0,0,0,0,0
10,22,31,18,415,1,0,0,0,0,0
10,22,31,19,396,1,0,0,0,0,0
10,22,31,21,70,0,0,1,0,0,0
10,22,31,22,513,0,0,1,0,0,0
10,22,31,25,168,1,0,0,0,0,0
10,22,31,25,976,0,0,1,0,0,0
10,22,31,26,784,0,0,1,0,0,0
10,22,31,27,15,0,0,1,0,0,0
10,22,31,28,54,0,0,1,0,0,0
10,22,31,30,420,1,0,0,0,0,0
10,22,31,30,535,0,0,1,0,0,0
10,22,31,30,997,1,0,0,0,0,0
10,22,31,31,978,1,0,0,0,0,0
10,22,31,33,190,0,0,0,1,0,0
10,22,31,36,191,1,0,0,0,0,0
10,22,31,37,403,1,0,0,0,0,0
10,22,31,40,289,0,0,0,1,0,0
10,22,31,41,328,1,0,0,0,0,0
10,22,31,41,674,1,0,0,0,0,0
10,22,31,42,482,1,0,0,0,0,0
10,22,31,45,368,1,0,0,0,0,0
10,22,31,47,157,1,0,0,0,0,0
10,22,31,48,542,0,0,1,0,0,0
10,22,31,48,657,1,0,0,0,0,0
10,22,31,50,851,1,0,0,0,0,0
10,22,31,53,101,1,0,0,0,0,0
10,22,31,53,159,1,0,0,0,0,0
10,22,31,57,142,1,0,0,0,0,0
10,22,31,57,661,1,0,0,0,0,0
10,22,31,59,970,2,0,0,0,0,0
10,22,32,0,316,1,0,0,0,0,0
10,22,32,4,818,1,0,0,0,0,0
10,22,32,7,357,1,0,0,0,0,0
10,22,32,7,415,1,0,0,0,0,0
10,22,32,8,973,1,0,0,0,0,0
10,22,32,10,704,1,0,0,0,0,0
10,22,32,13,417,1,0,0,0,0,0
10,22,32,21,208,0,0,1,0,0,0
10,22,32,25,999,1,0,0,0,0,0
10,22,32,27,37,0,0,1,0,0,0
10,22,32,28,884,0,0,1,0,0,0
10,22,32,31,886,0,0,1,0,0,0
10,22,32,41,928,0,0,1,0,0,0
10,22,32,44,872,0,1,0,0,0,0
10,22,32,52,259,0,0,1,0,0,0
10,22,32,54,394,0,0,1,0,0,0
10,22,32,56,588,0,0,1,0,0,0
10,22,32,59,589,0,0,1,0,0,0
10,22,33,0,282,0,0,1,0,0,0
10,22,33,1,90,0,0,1,0,0,0
10,22,33,2,71,0,0,1,0,0,0
10,22,33,2,879,0,0,1,0,0,0
10,22,33,4,553,0,0,1,0,0,0
10,22,33,7,727,0,0,1,0,0,0
10,22,33,15,461,0,0,1,0,0,0
10,22,33,19,154,1,0,0,0,0,0
10,22,33,25,272,0,0,1,0,0,0
10,22,33,25,734,0,0,1,0,0,0
10,22,33,26,831,0,1,0,0,0,0
10,22,33,28,216,0,1,0,0,0,0
10,22,33,30,409,0,1,0,0,0,0
10,22,33,31,909,0,0,1,0,0,0
10,22,33,40,740,0,0,1,0,0,0
10,22,33,41,605,0,1,0,0,0,0
10,22,33,44,87,1,0,0,0,0,0
10,22,33,53,33,0,0,1,0,0,0
10,22,33,54,14,0,0,1,0,0,0
10,22,34,0,16,0,0,1,0,0,0
10,22,34,8,904,0,1,0,0,0,0
10,22,34,13,983,0,0,1,0,0,0
10,22,34,15,945,0,0,1,0,0,0
10,22,34,24,660,0,1,0,0,0,0
10,22,34,34,10,0,0,1,0,0,0
10,22,34,35,857,0,0,1,0,0,0
10,22,34,40,128,0,1,0,0,0,0
10,22,34,41,224,0,0,1,0,0,0
10,22,34,43,129,0,0,1,0,0,0
10,22,34,55,422,0,0,1,0,0,0
10,22,35,1,78,0,0,1,0,0,0
10,22,35,2,636,0,0,1,0,0,0
10,22,35,18,555,0,0,1,0,0,0
10,22,35,23,741,0,0,1,0,0,0
10,22,35,26,934,0,0,1,0,0,0
10,22,35,28,319,0,0,1,0,0,0
10,22,35,36,284,0,0,1,0,0,0
10,22,35,38,188,0,0,1,0,0,0
10,22,35,41,824,0,0,1,0,0,0
10,22,35,43,787,0,1,0,0,0,0
10,22,35,44,75,0,1,0,0,0,0
10,22,35,49,96,0,0,1,0,0,0
10,22,35,51,405,0,0,1,0,0,0
10,22,35,52,732,0,0,1,0,0,0
10,22,36,8,27,0,1,0,0,0,0
10,22,36,8,200,0,1,0,0,0,0
10,22,36,28,169,0,0,1,0,0,0
10,22,36,36,19,1,0,0,0,0,0
10,22,36,40,1,0,0,1,0,0,0
10,22,36,54,661,0,0,1,0,0,0
10,22,36,59,740,0,0,1,0,0,0
10,22,37,6,954,0,0,1,0,0,0
10,22,37,9,493,0,1,0,0,0,0
10,22,37,26,634,0,0,1,0,0,0
10,22,37,38,408,0,0,1,0,0,0
10,22,37,46,604,0,0,1,0,0,0
10,22,38,13,37,0,0,1,0,0,0
10,22,38,14,479,0,0,1,0,0,0
