downcast,hour,min,sec,s/1000,kow,fri,in.hse,out.hse
18,23,12,5,713,1,0,1,0
18,23,12,17,256,1,0,1,0
18,23,12,24,181,1,0,1,0
18,23,12,26,490,1,0,1,0
18,23,13,12,892,1,0,1,0
18,23,13,15,201,1,0,1,0
18,23,13,19,818,1,0,1,0
18,23,13,20,972,2,0,2,0
18,23,13,23,339,1,0,1,0
18,23,13,24,493,1,0,1,0
18,23,13,30,264,1,0,1,0
18,23,13,31,419,1,0,1,0
18,23,13,33,727,1,0,1,0
18,23,13,34,881,1,0,1,0
18,23,13,36,36,1,0,1,0
18,23,13,37,190,1,0,1,0
18,23,13,41,865,2,0,2,0
18,23,13,44,174,2,0,2,0
18,23,13,48,791,1,0,1,0
18,23,13,52,196,1,0,1,0
18,23,14,45,524,0,1,0,1
18,23,14,48,929,0,1,0,1
18,23,14,50,199,0,1,0,1
18,23,14,59,434,0,1,0,1
18,23,15,0,588,0,1,0,1
18,23,15,1,742,0,1,0,1
18,23,15,2,897,0,1,0,1
18,23,15,5,205,0,1,0,1
18,23,15,6,302,0,1,0,1
18,23,15,14,497,0,1,0,1
18,23,15,24,944,0,2,0,2
18,23,15,26,98,0,1,0,1
18,23,15,27,252,0,1,0,1
18,23,15,28,407,0,1,0,1
18,23,15,43,470,0,1,0,1
18,23,15,59,688,0,1,0,1
18,23,16,3,93,0,1,0,1
18,23,16,12,327,0,1,0,1
18,23,16,23,928,0,1,0,1
18,23,14,4,501,0,1,0,1
18,23,14,20,718,0,1,0,1
18,23,18,15,86,0,1,1,0
18,23,18,45,271,0,1,0,1
18,23,19,6,48,0,1,1,0
18,23,19,37,329,0,1,1,0
