"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","r4-aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL","COOR"
24,0,56,9,334,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,9,392,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,9,507,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,56,9,565,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,56,9,680,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,56,9,854,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,56,9,911,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,10,142,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,10,200,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,10,258,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,56,10,373,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,10,431,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,56,10,488,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,56,10,546,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,
24,0,56,10,662,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,11,66,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,56,11,123,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,56,11,181,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,56,11,296,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,11,470,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,11,585,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,11,989,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,12,47,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,56,12,104,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,12,220,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
24,0,56,12,335,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,
24,0,56,12,451,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
24,0,56,12,508,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
24,0,56,12,566,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
