downcast,hour,min,sec,s/1000,kow,fri,in.hse,out.hse
18,4,23,38,907,1,0,1,0
18,4,23,45,891,1,0,1,0
18,4,23,50,508,1,0,1,0
18,4,23,5,571,1,0,1,0
18,4,23,14,805,1,0,1,0
18,4,23,15,960,1,0,1,0
18,4,23,18,268,1,0,1,0
18,4,23,19,365,2,0,2,0
18,4,23,20,635,4,0,4,0
18,4,23,21,789,2,0,2,0
18,4,23,22,943,1,0,1,0
18,4,23,26,406,1,0,1,0
18,4,23,29,869,1,0,1,0
18,4,23,32,177,6,0,6,0
18,4,23,33,332,1,0,1,0
18,4,23,35,640,1,0,1,0
18,4,23,39,161,1,0,1,0
18,4,23,41,470,1,0,1,0
18,4,23,44,933,1,0,1,0
18,4,25,34,741,0,1,0,1
18,4,25,35,895,0,1,0,1
18,4,25,39,358,0,1,0,1
18,4,25,50,959,0,1,0,1
18,4,25,59,38,0,1,0,1
18,4,26,1,347,0,1,0,1
18,4,26,4,868,0,1,0,1
18,4,26,8,331,0,1,0,1
18,4,26,9,485,0,1,1,0
18,4,26,10,639,0,1,0,1
18,4,26,24,548,0,1,0,1
18,4,26,26,857,0,1,0,1
18,4,26,28,11,0,1,0,1
18,4,26,31,474,0,2,0,2
18,4,26,38,342,0,1,1,0
18,4,26,59,292,0,1,0,1
18,4,27,2,755,0,1,1,0
18,4,27,20,128,0,1,0,1
18,4,28,21,478,0,1,0,1
18,4,28,26,153,0,1,0,1
18,4,28,48,142,0,1,0,1
18,4,28,32,63,0,1,0,1
18,4,28,35,641,0,1,0,1
18,4,28,47,184,0,1,1,0
18,4,28,59,881,0,1,1,0
