downcast,hour,min,sec,s/1000,kow,fri,in.hse,out.hse
16,3,55,54,649,2,0,2,0
16,3,55,55,803,2,0,2,0
16,3,55,56,958,2,0,2,0
16,3,55,58,170,4,0,4,0
16,3,55,59,324,1,0,1,0
16,3,56,0,478,5,0,5,0
16,3,56,3,941,4,0,4,0
16,3,56,5,95,2,0,2,0
16,3,56,6,250,1,0,1,0
16,3,56,7,404,4,0,4,0
16,3,56,8,558,1,0,1,0
16,3,56,12,21,1,0,1,0
16,3,56,17,850,1,0,1,0
16,3,57,42,403,0,1,1,0
16,3,57,47,20,0,1,1,0
16,3,58,20,610,0,1,0,1
16,3,58,21,764,0,1,1,0
16,3,58,26,381,0,1,1,0
16,3,58,48,370,0,1,0,1
16,3,58,32,407,0,1,1,0
16,3,58,45,161,0,1,0,1
16,3,58,47,470,0,1,0,1
16,3,58,21,60,0,1,0,1
16,3,58,36,124,0,1,1,0
16,4,0,56,959,0,1,0,1
