downcast,hour,min,sec,s/1000,kow,fri,in.hse,out.hse
20,23,47,55,235,1,0,1,0
20,23,48,25,362,1,0,1,0
20,23,48,36,847,1,0,1,0
20,23,48,54,276,2,0,2,0
20,23,48,58,836,1,0,1,0
20,23,49,9,340,1,0,1,0
20,23,49,11,648,1,0,1,0
20,23,49,18,632,1,0,1,0
20,23,49,20,941,3,0,3,0
20,23,49,22,95,2,0,2,0
20,23,49,26,712,1,0,1,0
20,23,49,34,850,1,0,1,0
20,23,49,36,4,1,0,1,0
20,23,50,6,651,0,1,0,1
20,23,50,18,829,0,1,0,1
20,23,50,21,137,0,1,0,1
20,23,50,23,446,0,1,0,1
20,23,50,28,120,0,1,0,1
20,23,50,29,275,0,1,0,1
20,23,50,31,583,0,1,0,1
20,23,50,38,509,0,1,0,1
20,23,50,53,457,0,1,0,1
20,23,51,20,237,0,1,1,0
20,23,51,25,951,0,1,0,1
20,23,51,27,105,0,1,0,1
20,23,51,31,722,0,1,0,1
20,23,51,54,981,0,1,0,1
20,23,52,4,215,0,1,1,0
20,23,52,7,678,0,1,0,1
20,23,52,12,353,0,1,0,1
20,23,52,22,741,0,1,1,0
20,23,52,26,204,0,1,1,0
20,23,52,42,364,0,1,0,1
20,23,52,43,519,0,1,0,1
20,23,52,55,177,0,1,1,0
20,23,53,22,996,0,1,1,0
20,23,53,25,304,0,1,1,0
20,23,53,38,60,0,1,0,1
20,23,53,39,214,0,1,0,1
20,23,54,40,564,0,1,0,1
20,23,54,44,27,0,1,0,1
20,23,54,46,278,0,1,1,0
20,23,54,54,473,0,1,0,1
20,23,55,2,553,0,1,0,1
20,23,56,54,924,0,1,1,0
20,23,57,15,643,0,1,1,0
20,23,57,11,338,0,1,1,0
