downcast,hour,min,sec,s/1000,MUAT,LEMU,NABI,AGEL,COOR,FOED
2,20,20,27,849,1,0,0,0,0,0
2,20,21,8,653,1,0,0,0,0,0
2,20,21,14,713,1,0,0,0,0,0
2,20,21,17,945,1,0,0,0,0,0
2,20,21,21,524,1,0,0,0,0,0
2,20,21,31,508,1,0,0,0,0,0
2,20,21,42,416,1,0,0,0,0,0
2,20,21,45,821,1,0,0,0,0,0
2,20,21,46,745,1,0,0,0,0,0
2,20,21,48,591,1,0,0,0,0,0
2,20,21,49,919,1,0,0,0,0,0
2,20,21,53,151,1,0,0,0,0,0
2,20,21,56,672,1,0,0,0,0,0
2,20,21,57,710,1,0,0,0,0,0
2,20,21,57,768,1,0,0,0,0,0
2,20,22,1,346,1,0,0,0,0,0
2,20,22,4,290,1,0,0,0,0,0
2,20,22,4,463,1,0,0,0,0,0
2,20,22,6,79,1,0,0,0,0,0
2,20,22,6,137,1,0,0,0,0,0
2,20,22,7,175,1,0,0,0,0,0
2,20,22,7,753,1,0,0,0,0,0
2,20,22,8,618,1,0,0,0,0,0
2,20,22,10,350,1,0,0,0,0,0
2,20,22,11,850,1,0,0,0,0,0
2,20,22,12,139,1,0,0,0,0,0
2,20,22,12,947,1,0,0,0,0,0
2,20,22,13,476,1,0,0,0,0,0
2,20,22,14,274,1,0,0,0,0,0
2,20,22,21,489,1,0,0,0,0,0
2,20,22,24,951,1,0,0,0,0,0
2,20,22,26,683,1,0,0,0,0,0
2,20,22,27,375,1,0,0,0,0,0
2,20,22,27,606,1,0,0,0,0,0
2,20,22,27,779,1,0,0,0,0,0
2,20,22,27,953,1,0,0,0,0,0
2,20,22,29,338,2,0,0,0,0,0
2,20,22,33,89,1,0,0,0,0,0
2,20,22,33,493,1,0,0,0,0,0
2,20,22,34,359,1,0,0,0,0,0
2,20,22,35,225,1,0,0,0,0,0
2,20,22,35,744,1,0,0,0,0,0
2,20,22,37,476,1,0,0,0,0,0
2,20,22,37,880,1,0,0,0,0,0
2,20,22,38,53,1,0,0,0,0,0
2,20,22,40,650,1,0,0,0,0,0
2,20,22,41,54,1,0,0,0,0,0
2,20,22,42,901,1,0,0,0,0,0
2,20,22,45,440,1,0,0,0,0,0
2,20,22,45,671,1,0,0,0,0,0
2,20,22,48,384,1,0,0,0,0,0
2,20,22,49,423,1,0,0,0,0,0
2,20,22,52,424,1,0,0,0,0,0
2,20,22,53,578,0,0,1,0,0,0
2,20,22,54,559,1,0,0,0,0,0
2,20,22,55,714,1,0,0,0,0,0
2,20,22,56,579,0,0,1,0,0,0
2,20,22,59,292,0,0,1,0,0,0
2,20,23,0,735,0,0,1,0,0,0
2,20,23,9,680,0,0,1,0,0,0
2,20,23,23,762,1,0,0,0,0,0
2,20,23,34,209,0,0,1,0,0,0
2,20,23,57,872,1,0,0,0,0,0
2,20,23,59,430,1,0,0,0,0,0
2,20,24,18,303,0,1,0,0,0,0
2,20,24,25,460,1,0,0,0,0,0
2,20,24,30,365,1,0,0,0,0,0
2,20,24,48,430,0,0,1,0,0,0
2,20,25,2,282,0,0,0,1,0,0
2,20,25,16,75,0,1,0,0,0,0
2,20,25,26,349,0,0,0,1,0,0
2,20,25,28,195,0,0,1,0,0,0
2,20,25,36,506,0,0,0,1,0,0
2,20,25,42,913,0,0,1,0,0,0
2,20,26,5,75,0,0,1,0,0,0
2,20,26,20,23,0,0,1,0,0,0
2,20,26,27,179,0,0,1,0,0,0
2,20,26,29,603,0,1,0,0,0,0
2,20,26,36,645,0,0,0,1,0,0
2,20,26,48,764,0,0,0,0,1,0
2,20,27,7,292,0,0,1,0,0,0
2,20,27,9,715,0,0,0,0,1,0
2,20,27,53,520,0,0,1,0,0,0
2,20,28,0,446,0,0,1,0,0,0
2,20,28,5,468,0,0,1,0,0,0
2,20,28,14,702,1,0,0,0,0,0
2,20,28,48,3,0,1,0,0,0,0
2,20,29,12,647,0,0,1,0,0,0
2,20,29,23,786,0,0,1,0,0,0
2,20,29,24,421,0,0,1,0,0,0
2,20,29,31,635,0,0,1,0,0,0
2,20,29,34,579,0,0,1,0,0,0
2,20,30,4,879,0,0,1,0,0,0
2,20,30,16,364,0,0,1,0,0,0
2,20,30,20,288,0,1,0,0,0,0
2,20,30,29,753,0,0,1,0,0,0
2,20,30,29,811,0,0,1,0,0,0
2,20,30,31,831,0,1,0,0,0,0
2,20,30,38,699,0,1,0,0,0,0
2,20,30,53,301,0,0,1,0,0,0
