"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","r4-aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL","COOR"
30,2,32,43,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,32,44,114,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,32,45,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,32,45,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
30,2,32,46,134,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,32,46,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,32,47,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,32,48,211,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,32,49,885,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,32,50,20,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,32,50,924,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,32,51,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,32,51,963,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,32,52,829,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
30,2,32,53,463,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
30,2,32,55,79,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
30,2,32,55,137,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,32,55,368,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,32,56,522,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
30,2,32,56,753,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
30,2,32,59,812,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
30,2,33,0,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,1,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,1,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
30,2,33,2,120,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,32,46,942,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
30,2,32,50,405,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
30,2,32,51,559,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
30,2,32,52,665,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
30,2,32,54,964,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
30,2,32,56,118,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
30,2,32,58,427,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
30,2,32,59,581,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
30,2,33,0,735,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
30,2,33,3,44,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
30,2,33,3,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,3,217,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
30,2,33,3,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,4,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,4,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,4,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,6,738,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,33,7,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,7,430,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
30,2,33,9,277,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,33,9,335,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,33,10,951,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,11,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,12,278,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
30,2,33,12,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,12,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,13,375,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,33,13,952,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,33,14,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,15,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,15,626,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,33,15,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
30,2,33,15,856,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,33,16,145,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,33,16,780,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
