downcast,hour,min,sec,s/1000,kow,fri,in.hse,out.hse
3,0,28,42,60,1,0,1,0
3,0,28,48,986,1,0,1,0
3,0,28,55,854,1,0,1,0
3,0,29,10,975,1,0,1,0
3,0,29,33,22,1,0,1,0
3,0,29,35,331,1,0,1,0
3,0,29,37,639,1,0,1,0
3,0,29,41,102,1,0,1,0
3,0,29,45,719,1,0,1,0
3,0,29,46,873,1,0,1,0
3,0,29,48,28,1,0,1,0
3,0,29,49,240,1,0,1,0
3,0,29,50,394,1,0,1,0
3,0,29,53,857,1,0,1,0
3,0,29,58,474,1,0,1,0
3,0,29,59,628,1,0,1,0
3,0,30,3,91,1,0,1,0
3,0,30,4,245,1,0,1,0
3,0,30,5,342,1,0,1,0
3,0,30,6,612,1,0,1,0
3,0,30,11,229,1,0,1,0
3,0,30,13,480,1,0,1,0
3,0,30,14,634,1,0,1,0
3,0,30,16,942,1,0,1,0
3,0,30,19,251,1,0,1,0
3,0,30,21,560,1,0,1,0
3,0,30,22,714,1,0,1,0
3,0,30,23,984,1,0,1,0
3,0,30,25,138,1,0,1,0
3,0,30,34,314,1,0,1,0
3,0,30,38,932,1,0,1,0
3,0,30,44,819,1,0,1,0
3,0,32,6,947,0,1,0,1
3,0,32,8,217,0,1,0,1
3,0,32,27,897,0,1,0,1
3,0,33,7,796,0,1,1,0
3,0,35,21,618,0,1,0,1
3,0,35,27,447,0,1,1,0
