downcast,hour,min,sec,s/1000,H1,H2,H3,H5a,H5b,H6,H7,H7*,H8,H9,H9*,H10,H11,H13,H14,H15,VSH,Annatiara,R1,R2,R3,r4-aegina,R5,Doliolids,Appendicularians,App in Hse,MUAT,LEMU,SPKO,Si 2 Eu,NABI,AGEL,COOR
20,23,47,42,422,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
20,23,47,42,595,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,42,653,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,42,768,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,42,884,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,43,57,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,43,115,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,43,230,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,43,288,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,43,346,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,43,403,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,43,634,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,43,692,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,43,807,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,43,980,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,44,154,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,44,211,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,44,269,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,44,327,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,44,384,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
20,23,47,44,731,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,44,788,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,44,962,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,45,19,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,45,135,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,45,366,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,45,596,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
20,23,47,45,770,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
20,23,47,45,827,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,46,174,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,46,289,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,46,347,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,46,578,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,46,635,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,46,693,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,46,866,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,46,924,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,47,97,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,47,212,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,47,270,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
20,23,47,47,386,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,47,443,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,47,616,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,47,963,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,48,78,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,48,540,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,48,713,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,49,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,49,290,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,49,464,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,49,694,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,49,752,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,49,925,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,50,41,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,50,156,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,50,329,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,50,502,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
20,23,47,50,560,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,50,733,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,50,791,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,50,964,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,51,22,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,51,79,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,51,195,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,51,310,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,51,368,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,51,541,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,51,599,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,51,772,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,51,830,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,51,887,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,51,945,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,52,61,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,52,349,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,52,522,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,52,580,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,52,695,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,52,984,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,53,157,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,53,446,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,53,561,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,53,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
20,23,47,53,792,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,53,850,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,53,907,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,53,965,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,54,23,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,54,427,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,54,542,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,54,600,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,54,658,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,54,889,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,55,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,55,119,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,55,177,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,55,293,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,55,350,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,55,408,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,55,466,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,55,581,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,55,639,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,55,754,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,55,927,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
20,23,47,55,985,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,56,331,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20,23,47,56,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
20,23,47,56,505,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23,47,56,562,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
20,23,47,56,678,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
