downcast,hour,min,sec,s/1000,MUAT,LEMU,NABI,AGEL,COOR,FOED
14,23,37,46,492,0,0,1,0,0,0
14,23,38,8,424,0,0,1,0,0,0
14,23,38,14,830,0,0,0,1,0,0
14,23,38,17,600,0,0,0,1,0,0
14,23,38,18,582,1,0,0,0,0,0
14,23,38,22,852,1,0,0,0,0,0
14,23,38,33,183,1,0,0,0,0,0
14,23,38,39,359,1,0,0,0,0,0
14,23,39,25,647,1,0,0,0,0,0
14,23,39,34,996,0,0,1,0,0,0
14,23,39,55,542,1,0,0,0,0,0
14,23,40,13,896,0,0,1,0,0,0
14,23,40,17,993,0,0,1,0,0,0
14,23,40,21,572,1,0,0,0,0,0
14,23,40,53,776,1,0,0,0,0,0
14,23,41,7,801,0,0,1,0,0,0
14,23,41,7,974,0,1,0,0,0,0
14,23,41,13,226,0,0,1,0,0,0
14,23,41,36,24,0,0,0,0,1,0
14,23,41,47,624,0,0,1,0,0,0
14,23,42,12,615,0,1,0,0,0,0
14,23,42,19,424,0,0,1,0,0,0
14,23,42,25,312,0,0,1,0,0,0
14,23,42,27,678,0,1,0,0,0,0
14,23,42,35,528,0,1,0,0,0,0
14,23,42,42,338,0,0,1,0,0,0
14,23,42,45,801,0,0,1,0,0,0
14,23,43,3,634,0,1,0,0,0,0
14,23,43,22,507,0,0,1,0,0,0
14,23,44,8,852,0,1,0,0,0,0
14,23,44,12,257,0,0,1,0,0,0
14,23,44,13,469,0,0,0,0,1,0
