downcast,hour,min,sec,s/1000,kow,fri,in.hse,out.hse
23,0,41,25,609,1,0,1,0
23,0,42,1,507,1,0,1,0
23,0,42,2,662,2,0,1,0
23,0,42,9,587,1,0,1,0
23,0,42,20,34,1,0,1,0
23,0,42,29,718,0,1,1,0
23,0,42,42,416,0,1,1,0
23,0,42,45,878,0,1,0,1
23,0,45,4,462,0,1,0,1
23,0,45,6,771,0,1,0,1
23,0,45,9,22,0,1,1,0
23,0,45,11,446,0,2,1,0
23,0,45,31,127,0,1,0,1
23,0,45,38,52,0,1,0,1
23,0,45,48,499,0,1,0,1
23,0,45,59,984,0,1,1,0
23,0,46,4,716,0,1,1,0
23,0,46,8,121,0,1,0,1
23,0,46,9,276,0,1,0,1
23,0,46,16,201,0,1,0,1
23,0,46,25,551,0,1,1,0
23,0,46,30,619,0,1,1,0
23,0,48,44,528,0,1,0,1
