"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL","COOR"
16,22,39,14,932,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,15,48,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,15,105,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,15,452,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,17,241,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,18,741,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,19,30,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,20,704,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,22,204,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,22,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,23,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,23,243,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,23,358,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
16,22,39,23,878,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,23,993,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,24,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,24,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,24,974,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,25,436,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,25,667,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,25,898,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,26,186,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,26,533,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,26,764,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,27,168,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,27,341,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,27,456,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,28,33,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,28,437,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
16,22,39,28,495,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,28,784,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,29,72,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,29,361,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,13,432,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,39,15,740,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,39,16,837,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,39,24,917,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
16,22,39,27,225,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
16,22,39,29,707,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,30,284,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,31,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,31,381,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
16,22,39,32,73,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,32,131,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,32,477,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
16,22,39,32,593,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,32,766,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,33,228,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,33,285,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,33,689,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,34,151,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,34,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,36,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,36,864,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,37,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,37,960,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
16,22,39,38,307,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,38,884,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,40,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,40,730,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,41,192,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,41,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,41,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,42,635,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,42,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16,22,39,43,732,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,44,78,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,44,597,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,44,713,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,45,59,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,45,290,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,45,578,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,45,809,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,39,46,156,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
16,22,39,46,52,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
