"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL"
10,20,55,17,198,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,25,682,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,28,452,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
10,20,55,33,12,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
10,20,55,40,861,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,41,323,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,42,765,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,44,439,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,44,497,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,47,152,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,48,133,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,49,345,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,49,633,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,49,980,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,36,532,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
10,20,55,38,841,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
10,20,55,39,937,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
10,20,55,43,400,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
10,20,55,45,651,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
10,20,55,46,805,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
10,20,55,50,326,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
10,20,55,50,557,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,51,596,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10,20,55,52,404,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
