downcast,hour,min,sec,s/1000,MUAT,LEMU,NABI,AGEL,COOR,FOED
20,1,19,2,279,0,1,0,0,0,0
20,1,19,3,549,0,1,0,0,0,0
20,1,19,8,282,0,1,0,0,0,0
20,1,19,35,638,0,1,0,0,0,0
20,1,19,39,794,0,0,0,1,0,0
20,1,19,48,162,1,0,0,0,0,0
20,1,19,54,49,0,1,0,0,0,0
20,1,20,1,206,0,0,1,0,0,0
20,1,20,6,573,0,0,1,0,0,0
20,1,20,8,478,0,0,1,0,0,0
20,1,20,13,787,0,0,0,1,0,0
20,1,20,14,307,0,0,0,1,0,0
20,1,20,18,982,0,0,1,0,0,0
20,1,20,33,757,0,0,0,1,0,0
20,1,20,34,276,0,0,1,0,0,0
20,1,20,44,434,0,0,1,0,0,0
20,1,21,17,216,0,1,0,0,0,0
20,1,21,25,296,0,1,0,0,0,0
20,1,21,42,380,0,0,1,0,0,0
20,1,22,30,110,0,0,1,0,0,0
20,1,22,49,352,0,0,1,0,0,0
20,1,22,52,180,0,0,1,0,0,0
20,1,25,2,880,0,1,0,0,0,0
20,1,25,10,37,0,0,0,0,1,0
20,1,25,41,780,0,1,0,0,0,0
20,1,26,18,313,0,1,0,0,0,0
20,1,26,31,587,0,1,0,0,0,0
20,1,26,31,760,0,1,0,0,0,0
20,1,26,34,357,0,0,0,0,1,0
20,1,27,3,273,1,0,0,0,0,0
20,1,27,4,370,0,1,0,0,0,0
20,1,27,7,370,0,1,0,0,0,0
20,1,27,11,699,0,1,0,0,0,0
