downcast,hour,min,sec,s/1000,kow,fri,in.hse,out.hse
2,20,21,3,805,1,0,1,0
2,20,21,7,441,1,0,1,0
2,20,21,8,596,2,0,2,0
2,20,21,13,213,1,0,1,0
2,20,21,14,367,2,0,2,0
2,20,21,15,521,1,0,1,0
2,20,21,16,675,1,0,1,0
2,20,21,17,830,1,0,1,0
2,20,21,18,894,1,0,1,0
2,20,21,20,138,1,0,1,0
2,20,21,21,235,1,0,1,0
2,20,21,22,505,1,0,1,0
2,20,21,23,601,1,0,1,0
2,20,21,25,910,1,0,1,0
2,20,21,28,218,1,0,1,0
2,20,21,29,373,1,0,1,0
2,20,21,31,681,1,0,1,0
2,20,21,32,835,2,0,2,0
2,20,21,33,990,2,0,2,0
2,20,21,35,144,3,0,3,0
2,20,21,36,298,2,0,2,0
2,20,21,37,453,1,0,1,0
2,20,21,39,877,3,0,3,0
2,20,21,41,31,3,0,3,0
2,20,22,52,828,0,1,0,1
2,20,22,53,924,0,1,0,1
2,20,22,58,542,0,1,0,1
2,20,23,5,468,0,1,0,1
2,20,23,14,817,0,1,0,1
2,20,23,15,971,0,1,0,1
2,20,23,17,125,0,1,0,1
2,20,23,22,839,0,1,0,1
2,20,23,26,417,0,1,0,1
2,20,23,27,572,0,1,0,1
2,20,23,32,189,0,1,0,1
2,20,23,36,806,0,1,0,1
2,20,23,40,153,0,1,0,1
2,20,23,41,481,0,1,0,1
2,20,23,44,886,0,1,0,1
2,20,23,56,371,0,1,0,1
2,20,23,57,525,0,1,0,1
2,20,23,58,795,0,1,0,1
2,20,23,59,949,0,1,1,0
2,20,24,6,875,0,1,0,1
2,20,24,8,30,0,1,0,1
2,20,24,9,184,0,1,0,1
2,20,24,10,338,0,1,0,1
2,20,24,11,493,0,1,0,1
2,20,24,13,801,0,1,0,1
2,20,24,14,956,0,1,0,1
2,20,24,16,225,0,1,0,1
2,20,24,18,534,0,1,0,1
2,20,24,19,688,0,1,0,1
2,20,24,27,768,0,1,0,1
2,20,24,30,77,0,1,0,1
2,20,24,34,752,0,2,0,2
2,20,24,35,906,0,2,0,2
2,20,24,39,369,0,1,0,1
2,20,24,48,546,0,1,0,1
2,20,24,49,700,0,1,0,1
2,20,24,52,124,0,2,0,2
2,20,24,54,433,0,1,0,1
2,20,24,56,683,0,1,0,1
2,20,25,0,146,0,1,0,1
2,20,25,2,455,0,2,0,2
2,20,25,3,609,0,1,0,1
2,20,25,5,918,0,1,0,1
2,20,25,7,72,0,1,0,1
2,20,25,11,805,0,1,0,1
2,20,25,12,959,0,1,1,0
2,20,25,14,113,0,1,0,1
2,20,25,19,884,0,1,0,1
2,20,25,25,714,0,1,0,1
2,20,25,29,177,0,1,1,0
2,20,25,30,331,0,1,0,1
2,20,25,31,485,0,1,0,1
2,20,25,38,411,0,2,1,1
2,20,25,41,816,0,1,0,1
2,20,25,44,240,0,1,0,1
2,20,25,45,394,0,1,0,1
2,20,25,49,954,0,1,0,1
2,20,25,53,416,0,2,1,1
2,20,25,54,571,0,1,0,1
2,20,25,58,34,0,2,0,2
2,20,25,59,188,0,1,0,1
2,20,26,0,458,0,2,1,1
2,20,26,1,612,0,2,0,2
2,20,26,2,766,0,1,0,1
2,20,26,6,229,0,3,0,3
2,20,26,7,383,0,3,0,3
2,20,26,8,539,0,1,0,1
2,20,26,9,692,0,1,0,1
2,20,26,12,0,0,1,0,1
2,20,26,13,155,0,1,0,1
2,20,26,16,560,0,1,0,1
2,20,26,17,830,0,1,0,1
2,20,26,18,984,0,1,0,1
2,20,26,20,138,0,1,0,1
2,20,26,23,601,0,1,0,1
2,20,26,24,755,0,1,1,0
2,20,26,28,218,0,1,0,1
2,20,26,32,835,0,1,0,1
2,20,26,36,356,0,1,1,0
2,20,26,42,127,0,1,0,1
2,20,26,49,53,0,2,0,2
2,20,26,59,422,0,1,0,1
2,20,27,2,905,0,1,0,1
2,20,27,19,122,0,1,0,1
2,20,27,23,682,0,1,1,0
2,20,27,29,569,0,1,1,0
2,20,27,38,803,0,1,0,1
2,20,27,42,266,0,1,0,1
2,20,27,43,421,0,1,0,1
2,20,27,50,404,0,1,0,1
2,20,27,55,21,0,1,0,1
2,20,27,57,330,0,1,1,0
2,20,27,59,638,0,1,0,1
2,20,28,5,468,0,1,1,0
2,20,28,14,702,0,1,0,1
2,20,28,24,52,0,1,1,0
2,20,28,25,206,0,1,0,1
2,20,28,27,515,0,1,0,1
2,20,28,28,669,0,1,1,0
2,20,28,30,977,0,1,0,1
2,20,28,32,132,0,1,1,0
2,20,28,41,424,0,1,1,0
2,20,28,42,578,0,1,1,0
2,20,28,43,732,0,1,1,0
2,20,28,49,504,0,1,1,0
2,20,28,51,812,0,1,1,0
2,20,28,54,121,0,1,0,1
2,20,28,57,584,0,1,0,1
2,20,29,6,818,0,1,0,1
2,20,29,25,402,0,1,1,0
2,20,29,27,653,0,1,0,1
2,20,29,32,388,0,1,1,0
2,20,29,40,408,0,1,0,1
2,20,29,41,562,0,1,2,2
2,20,29,45,25,0,2,1,1
2,20,29,49,758,0,1,0,1
2,20,29,55,471,0,1,0,1
2,20,30,8,284,0,1,0,1
2,20,30,10,592,0,1,1,0
2,20,30,24,502,0,1,0,1
2,20,30,34,832,0,1,0,1
2,20,30,38,411,0,1,0,1
2,20,30,48,799,0,1,1,0
