"date","downcast","hour","min","sec","s/1000","sol_small","sol_large"
2010-10-16,5,19,35,54,190,1,0
2010-10-16,5,19,35,54,478,1,0
2010-10-16,5,19,35,55,344,1,0
2010-10-16,5,19,36,2,265,1,0
2010-10-16,5,19,36,2,675,1,0
2010-10-16,5,19,36,6,656,1,0
2010-10-16,5,19,36,7,233,1,0
2010-10-16,5,19,36,8,676,1,0
2010-10-16,5,19,36,13,582,1,0
2010-10-16,5,19,36,15,601,2,0
2010-10-16,5,19,36,16,467,2,0
2010-10-16,5,19,36,17,44,1,0
2010-10-16,5,19,36,17,910,1,0
2010-10-16,5,19,36,18,199,2,0
2010-10-16,5,19,36,18,487,1,0
2010-10-16,5,19,36,18,776,1,0
2010-10-16,5,19,36,19,64,1,0
2010-10-16,5,19,36,20,507,1,0
2010-10-16,5,19,36,21,315,1,0
2010-10-16,5,19,36,21,950,1,0
2010-10-16,5,19,36,22,816,1,0
2010-10-16,5,19,36,23,104,1,0
2010-10-16,5,19,36,23,451,1,0
2010-10-16,5,19,36,26,48,1,0
2010-10-16,5,19,36,26,625,1,0
2010-10-16,5,19,36,26,914,2,0
2010-10-16,5,19,36,27,202,1,0
2010-10-16,5,19,36,27,779,1,0
2010-10-16,5,19,36,28,68,1,0
2010-10-16,5,19,36,28,356,2,0
2010-10-16,5,19,36,28,934,1,0
2010-10-16,5,19,36,29,222,1,0
2010-10-16,5,19,36,31,351,1,0
2010-10-16,5,19,36,31,819,1,0
2010-10-16,5,19,36,32,685,1,0
2010-10-16,5,19,36,32,973,1,0
2010-10-16,5,19,36,33,551,1,0
2010-10-16,5,19,36,33,839,1,0
2010-10-16,5,19,36,34,128,2,0
2010-10-16,5,19,36,34,705,2,0
2010-10-16,5,19,36,35,282,1,0
2010-10-16,5,19,36,36,725,1,0
2010-10-16,5,19,36,37,13,2,0
2010-10-16,5,19,36,37,879,1,0
2010-10-16,5,19,36,38,456,1,0
2010-10-16,5,19,36,41,111,1,0
2010-10-16,5,19,36,41,688,1,0
2010-10-16,5,19,36,43,131,1,0
2010-10-16,5,19,36,43,708,2,0
2010-10-16,5,19,36,43,997,3,0
2010-10-16,5,19,36,44,286,2,0
2010-10-16,5,19,36,45,151,1,0
2010-10-16,5,19,36,46,17,2,0
2010-10-16,5,19,36,46,306,1,0
2010-10-16,5,19,36,47,171,3,0
2010-10-16,5,19,36,48,326,1,0
2010-10-16,5,19,36,50,634,2,0
2010-10-16,5,19,36,51,500,1,0
2010-10-16,5,19,36,51,788,2,0
2010-10-16,5,19,36,52,231,1,0
2010-10-16,5,19,36,54,385,1,0
2010-10-16,5,19,36,55,251,1,0
2010-10-16,5,19,36,55,540,1,0
2010-10-16,5,19,36,55,828,1,0
2010-10-16,5,19,36,57,271,1,0
2010-10-16,5,19,36,58,483,3,0
2010-10-16,5,19,36,59,349,1,0
2010-10-16,5,19,36,59,638,1,0
2010-10-16,5,19,37,0,215,1,0
2010-10-16,5,19,37,0,792,2,0
