"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","R4-Aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL"
8,20,20,42,592,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8,20,20,47,209,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8,20,20,50,672,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8,20,20,51,827,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
8,20,21,7,179,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,7,468,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,15,547,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,3,428,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8,20,21,10,353,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8,20,21,16,240,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,20,626,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,21,377,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,21,781,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,22,127,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
8,20,21,22,300,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,22,820,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,23,512,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,32,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,32,804,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,32,919,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,33,35,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,17,337,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8,20,21,20,742,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
8,20,21,23,50,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8,20,21,24,205,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8,20,21,32,285,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8,20,21,33,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,34,940,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,35,286,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,35,459,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,35,863,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,37,537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,38,749,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,40,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,41,288,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,42,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,42,442,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,42,558,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,42,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,43,712,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
8,20,21,44,289,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,44,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
8,20,21,44,635,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,45,155,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,45,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,45,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,45,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,46,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,46,713,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,46,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,47,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,47,59,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,47,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,47,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
8,20,21,49,137,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
8,20,21,49,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,50,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,50,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,50,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
8,20,21,39,326,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8,20,21,41,634,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
