downcast,hour,min,sec,s/1000,MUAT,LEMU,NABI,AGEL,COOR,FOED
1,20,0,49,375,1,0,0,0,0,0
1,20,1,8,248,1,0,0,0,0,0
1,20,1,9,518,1,0,0,0,0,0
1,20,1,29,949,1,0,0,0,0,0
1,20,1,38,376,1,0,0,0,0,0
1,20,2,3,539,1,0,0,0,0,0
1,20,2,20,276,1,0,0,0,0,0
1,20,2,24,489,1,0,0,0,0,0
1,20,2,26,105,1,0,0,0,0,0
1,20,2,34,878,1,0,0,0,0,0
1,20,2,41,861,1,0,0,0,0,0
1,20,2,45,93,1,0,0,0,0,0
1,20,2,48,672,1,0,0,0,0,0
1,20,2,56,453,1,0,0,0,0,0
1,20,3,3,735,1,0,0,0,0,0
1,20,3,4,139,1,0,0,0,0,0
1,20,3,7,544,1,0,0,0,0,0
1,20,3,7,602,1,0,0,0,0,0
1,20,3,8,525,1,0,0,0,0,0
1,20,3,9,218,1,0,0,0,0,0
1,20,3,9,564,1,0,0,0,0,0
1,20,3,9,968,1,0,0,0,0,0
1,20,3,10,892,1,0,0,0,0,0
1,20,3,11,411,1,0,0,0,0,0
1,20,3,12,450,1,0,0,0,0,0
1,20,3,15,336,1,0,0,0,0,0
1,20,3,15,970,1,0,0,0,0,0
1,20,3,17,67,2,0,0,0,0,0
1,20,3,17,586,1,0,0,0,0,0
1,20,3,18,337,1,0,0,0,0,0
1,20,3,18,798,1,0,0,0,0,0
1,20,3,19,953,1,0,0,0,0,0
1,20,3,20,68,1,0,0,0,0,0
1,20,3,21,857,1,0,0,0,0,0
1,20,3,24,50,1,0,0,0,0,0
1,20,3,24,108,1,0,0,0,0,0
1,20,3,24,859,1,0,0,0,0,0
1,20,3,25,263,1,0,0,0,0,0
1,20,3,25,436,1,0,0,0,0,0
1,20,3,25,493,1,0,0,0,0,0
1,20,3,25,782,1,0,0,0,0,0
1,20,3,25,955,2,0,0,0,0,0
1,20,3,26,648,1,0,0,0,0,0
1,20,3,27,283,1,0,0,0,0,0
1,20,3,28,321,2,0,0,0,0,0
1,20,3,30,976,1,0,0,0,0,0
1,20,3,34,35,1,0,0,0,0,0
1,20,3,34,785,1,0,0,0,0,0
1,20,3,35,997,1,0,0,0,0,0
1,20,3,36,978,0,0,1,0,0,0
1,20,3,37,960,0,0,1,0,0,0
1,20,3,38,825,1,0,0,0,0,0
1,20,3,39,345,1,0,0,0,0,0
1,20,3,39,922,1,0,0,0,0,0
1,20,3,40,903,2,0,0,0,0,0
1,20,3,47,252,0,0,1,0,0,0
1,20,3,49,791,0,0,1,0,0,0
1,20,3,50,80,0,0,1,0,0,0
1,20,4,1,449,0,0,1,0,0,0
1,20,4,4,855,0,0,1,0,0,0
1,20,4,6,67,0,0,1,0,0,0
1,20,4,7,625,1,0,0,0,0,0
1,20,4,11,492,1,0,0,0,0,0
1,20,4,13,858,0,0,1,0,0,0
1,20,4,35,963,0,0,1,0,0,0
1,20,5,1,819,0,0,1,0,0,0
1,20,5,27,964,0,0,1,0,0,0
1,20,5,28,426,0,0,1,0,0,0
1,20,5,36,852,0,0,1,0,0,0
1,20,5,43,489,0,0,1,0,0,0
1,20,5,59,649,0,0,1,0,0,0
1,20,6,3,574,0,0,1,0,0,0
1,20,6,24,813,0,0,1,0,0,0
1,20,7,6,886,1,0,0,0,0,0
1,20,7,40,72,0,0,1,0,0,0
1,20,7,42,611,0,1,0,0,0,0
1,20,7,51,326,0,0,1,0,0,0
1,20,7,56,405,0,0,0,1,0,0
1,20,7,59,233,0,0,1,0,0,0
1,20,8,1,542,0,0,1,0,0,0
1,20,8,6,217,1,0,0,0,0,0
1,20,8,12,623,0,0,1,0,0,0
1,20,8,17,240,0,0,1,1,0,0
1,20,8,20,472,0,0,1,0,0,0
1,20,8,29,475,0,0,0,1,0,0
1,20,8,35,939,0,0,1,0,0,0
1,20,8,51,407,0,0,1,0,0,0
1,20,9,7,740,0,0,1,0,0,0
1,20,9,9,357,0,0,0,0,1,0
1,20,9,14,897,0,0,1,0,0,0
1,20,9,19,803,1,0,0,0,0,0
1,20,9,23,150,0,1,0,0,0,0
1,20,9,26,209,0,0,1,0,0,0
1,20,9,30,192,0,0,1,0,0,0
1,20,9,34,347,0,0,1,0,0,0
1,20,9,47,910,0,0,1,0,0,0
1,20,10,1,992,0,0,1,0,0,0
1,20,10,14,55,0,1,0,0,0,0
1,20,10,18,333,0,0,1,0,0,0
1,20,10,36,967,0,0,1,0,0,0
1,20,10,41,642,0,0,1,0,0,0
1,20,11,20,599,0,1,0,0,0,0
1,20,11,23,543,0,0,1,0,0,0
1,20,11,23,658,0,0,1,0,0,0
1,20,11,38,87,0,0,0,0,1,0
1,20,11,41,30,0,0,1,0,0,0
1,20,11,51,765,0,0,1,0,0,0
1,20,12,6,251,0,0,1,0,1,0
1,20,12,7,348,0,0,1,0,0,0
1,20,12,17,448,0,1,0,0,0,0
