downcast,hour,min,sec,s/1000,MUAT,LEMU,NABI,AGEL,COOR,FOED
18,0,45,0,511,0,0,1,0,0,0
18,0,45,20,826,0,1,0,0,0,0
18,0,45,33,754,0,0,1,0,0,0
18,0,45,35,370,0,0,1,0,0,0
18,0,45,42,239,0,0,1,0,0,0
18,0,45,43,393,1,0,0,0,0,0
18,0,45,49,395,0,0,1,0,0,0
18,0,46,39,722,0,0,1,0,0,0
18,0,46,51,207,0,1,0,0,0,0
18,0,46,52,881,0,1,0,0,0,0
18,0,47,17,409,0,0,1,0,0,0
18,0,47,57,522,0,0,1,0,0,0
18,0,48,9,930,0,0,1,0,0,0
18,0,48,13,393,0,0,1,0,0,0
18,0,48,16,452,0,0,1,0,0,0
18,0,48,16,856,0,0,1,0,0,0
18,0,48,25,917,0,0,1,0,0,0
18,0,48,43,924,0,0,1,0,0,0
18,0,49,26,286,0,1,0,0,0,0
18,0,49,26,921,0,1,0,0,0,0
18,0,50,12,342,0,0,1,0,0,0
18,0,50,21,981,0,0,0,1,0,0
18,0,50,55,224,0,1,0,0,0,0
18,0,51,4,401,0,1,0,0,0,0
18,0,51,32,682,0,0,1,0,0,0
18,0,51,36,837,0,1,0,0,0,0
18,0,51,41,166,0,1,0,0,0,0
18,0,51,41,974,0,1,0,0,0,0
18,0,51,49,592,0,1,0,0,0,0
18,0,51,54,613,0,1,0,0,0,0
18,0,52,22,547,0,1,0,0,0,0
