"date","downcast","hour","min","sec","s/1000","sol_small","sol_large"
2010-10-15,1,20,2,21,661,1,0
2010-10-15,1,20,2,23,335,1,0
2010-10-15,1,20,2,24,409,1,0
2010-10-15,1,20,2,26,505,1,0
2010-10-15,1,20,2,27,952,1,0
2010-10-15,1,20,2,29,106,1,0
2010-10-15,1,20,2,30,549,1,0
2010-10-15,1,20,2,30,838,1,0
2010-10-15,1,20,2,31,126,1,0
2010-10-15,1,20,2,35,571,1,0
2010-10-15,1,20,2,50,57,1,0
2010-10-15,1,20,2,51,211,4,0
2010-10-15,1,20,2,51,500,2,0
2010-10-15,1,20,2,51,788,1,0
2010-10-15,1,20,2,52,654,1,0
2010-10-15,1,20,2,52,943,5,0
2010-10-15,1,20,2,53,231,1,0
2010-10-15,1,20,2,53,808,2,0
2010-10-15,1,20,2,54,97,3,0
2010-10-15,1,20,2,54,385,3,0
2010-10-15,1,20,2,54,674,4,0
2010-10-15,1,20,2,54,963,3,0
2010-10-15,1,20,2,55,540,1,0
2010-10-15,1,20,2,55,828,2,0
2010-10-15,1,20,2,56,117,2,0
2010-10-15,1,20,2,56,405,1,0
2010-10-15,1,20,2,56,694,4,0
2010-10-15,1,20,2,57,271,1,0
2010-10-15,1,20,2,57,560,1,0
2010-10-15,1,20,2,58,137,2,0
2010-10-15,1,20,2,58,714,1,0
2010-10-15,1,20,3,0,157,2,0
2010-10-15,1,20,3,0,445,1,0
2010-10-15,1,20,3,1,311,3,0
2010-10-15,1,20,3,1,88,1,0
2010-10-15,1,20,3,3,42,1,0
2010-10-15,1,20,3,3,620,2,0
2010-10-15,1,20,3,4,774,1,0
2010-10-15,1,20,3,5,351,1,0
2010-10-15,1,20,3,6,217,1,0
2010-10-15,1,20,3,6,505,2,0
2010-10-15,1,20,3,6,794,1,0
2010-10-15,1,20,3,6,910,3,0
2010-10-15,1,20,3,7,198,1,0
2010-10-15,1,20,3,7,775,3,0
2010-10-15,1,20,3,9,218,3,0
2010-10-15,1,20,3,9,507,1,0
2010-10-15,1,20,3,10,661,2,0
2010-10-15,1,20,3,11,527,1,0
2010-10-15,1,20,3,11,815,1,0
