transect,downcast,year,month,date,hour,min,sec,s/1000,#,BX,BY,Length,Theta,Phi,Phi360
1,23,2010,10,16,2,10,22,680,1,1008,782,149.05,20,168.389,281.611
1,23,2010,10,16,2,10,30,529,1,1292,622,118.186,140,66.038,23.962
1,23,2010,10,16,2,10,34,050,1,192,896,296.971,292.2084755,94.635,184.635
1,23,2010,10,16,2,10,44,727,1,978,475,133.405,320,146.31,236.31
1,23,2010,10,16,2,11,01,233,1,1264,472,218.248,2.234535401,63.905,26.095
1,23,2010,10,16,2,11,19,759,1,1360,530,189.263,40,113.716,336.284
1,23,2010,10,16,2,11,28,156,1,824,320,222.081,90,141.582,308.418
1,23,2010,10,16,2,11,29,629,1,1612,1870,271.448,60,106.699,343.301
1,23,2010,10,16,2,11,30,783,1,691,115,166.667,81.01623223,69.283,20.717
1,23,2010,10,16,2,11,31,764,1,1872,1684,177.629,270,125.838,215.838
1,23,2010,10,16,2,11,44,981,1,1836,1601,159.665,90,120.902,329.098
1,23,2010,10,16,2,11,50,463,1,699,421,241.006,56.26445548,84.763,5.237
1,23,2010,10,16,2,11,50,463,2,1659,315,362.006,270,90.317,180.317
1,23,2010,10,16,2,11,55,715,1,970,810,121.714,90,24.677,65.323
1,23,2010,10,16,2,11,58,832,1,941,236,165.919,90,63.126,26.874
1,23,2010,10,16,2,11,59,236,1,1268,331,165.339,4.526366582,179.655,270.345
1,23,2010,10,16,2,12,00,679,1,968,704,178.393,290.260419,137.726,227.726
1,23,2010,10,16,2,12,00,679,2,934,301,155.322,310,123.179,213.179
1,23,2010,10,16,2,12,01,833,1,1598,1357,232.499,65.25989287,81.591,8.409
1,24,2010,10,16,2,28,12,304,1,1228,652,107.787,200,154.148,295.852
1,24,2010,10,16,2,28,13,516,1,250,777,172.557,270,135.939,225.939
1,24,2010,10,16,2,28,17,729,1,188,1112,223.893,285.7340524,138.621,228.621
1,24,2010,10,16,2,28,26,732,1,513,483,202.759,90,133.798,316.202
1,24,2010,10,16,2,28,29,272,1,152,1529,214.368,90,48.411,41.589
1,24,2010,10,16,2,28,33,427,1,1344,1356,164.779,90,5.572,84.428
1,24,2010,10,16,2,28,33,427,2,1656,1620,188.298,0,12.265,77.735
1,24,2010,10,16,2,28,42,661,1,1091,0,215.497,90,10.424,79.576
1,24,2010,10,16,2,28,43,758,1,1340,996,323.234,230,49.014,139.014
1,24,2010,10,16,2,28,58,303,1,469,1955,205.937,120,111.956,201.956
1,24,2010,10,16,2,29,03,497,1,228,1156,137.928,270,106.858,196.858
1,24,2010,10,16,2,29,17,983,1,1476,1908,308.026,78.72440105,90.744,359.256
1,24,2010,10,16,2,29,27,564,1,30,1016,173.692,50,113.895,336.105
1,24,2010,10,16,2,29,27,564,2,772,1505,152.118,75,87.739,2.261
1,24,2010,10,16,2,29,28,430,1,768,1022,206.903,80,82.222,172.222
2,5,2010,10,16,19,40,16,387,1,1146,1983,148.68,270,90.769,180.769
2,6,2010,10,16,19,53,32,790,1,13,844,116.619,270,84.094,174.094
2,6,2010,10,16,19,53,33,944,1,982,944,177.46,205,50.029,140.029
2,6,2010,10,16,19,53,47,565,1,1324,756,110.987,270,73.843,163.843
2,6,2010,10,16,19,54,01,705,1,620,2008,112.24,270,85.914,175.914
2,6,2010,10,16,19,54,02,397,1,1336,597,98.473,270,104.036,194.036
2,6,2010,10,16,19,54,02,397,2,0,1301,76.655,270,82.504,172.504
2,6,2010,10,16,19,54,30,389,1,889,1797,153.31,270,82.504,172.504
2,8,2010,10,16,20,24,08,922,1,1505,679,203.106,290,115.051,205.051
2,8,2010,10,16,20,24,22,254,1,594,1227,119.34,280,85.675,175.675
2,9,2010,10,16,20,41,45,212,1,1104,1689,124.788,270,96.442,186.442
2,9,2010,10,16,20,41,42,137,1,841,326,137.975,270,47.056,137.056
2,16,2010,10,16,22,39,37,383,1,209,1079,113.545,5,170.372,279.628
2,17,2010,10,16,22,56,47,704,1,653,1214,101.39,50,157.989,292.011
2,18,2010,10,16,23,12,37,225,1,1814,747,122.32,25,155.323,294.677
2,18,2010,10,16,23,13,09,660,1,1062,0,118.794,55,45,45
2,18,2010,10,16,23,13,10,815,1,200,1397,178.672,270,89.678,179.678
2,18,2010,10,16,23,13,10,815,1,1781,1275,139.589,210,81.347,171.347
2,20,2010,10,16,23,49,14,246,1,637,381,172.743,80,84.685,5.315
2,24,2010,10,17,0,56,51,235,1,1871,1573,133.688,270,65.733,155.733
2,24,2010,10,17,0,57,6,298,1,351,702,145.22,250,43.603,133.603
2,24,2010,10,17,0,57,7,972,1,1497,712,145.798,215,63.962,153.962
2,24,2010,10,17,0,57,25,633,1,439,636,142.394,35,79.479,10.521
2,25,2010,10,17,1,11,52,795,1,644,1377,151.159,320,153.265,243.265
2,25,2010,10,17,1,11,52,795,2,0,1660,100.439,0,54.728,144.728
2,25,2010,10,17,1,11,53,949,1,1031,1743,131.015,10,179.125,270.875
2,25,2010,10,17,1,11,53,949,1,669,730,137.928,90,60.461,29.539
2,25,2010,10,17,1,12,35,330,1,1934,461,125.897,45,120.027,329.973
2,25,2010,10,17,1,12,46,354,1,1839,1405,191.638,40,60.626,29.374
2,25,2010,10,17,1,12,50,105,1,1119,1456,179.847,155,11.872,78.128
2,25,2010,10,17,1,12,55,762,1,31,355,177.545,90,76.667,13.333
2,25,2010,10,17,1,13,04,303,1,1503,0,216.518,345,11.725,101.725
2,26,2010,10,17,1,27,10,514,1,1418,737,182.135,15,177.797,272.203
2,26,2010,10,17,1,27,22,461,2,1255,521,143.562,300,116.03,206.03
2,26,2010,10,17,1,27,42,835,1,1383,922,261.375,220,28.82,118.82
2,26,2010,10,17,1,27,46,874,1,396,1187,171.467,255,54.734,144.734
2,26,2010,10,17,1,28,03,958,1,13,1844,124.401,300,72.29,162.29
2,26,2010,10,17,1,28,28,602,1,1339,1828,119.229,345,164.45,254.45
2,27,2010,10,17,1,43,17,695,1,1761,1217,182.858,20,171.826,278.174
2,27,2010,10,17,1,43,27,507,1,317,1514,152.473,215,85.486,175.486
2,27,2010,10,17,1,44,43,113,1,1498,0,115.745,90,39.742,50.258
2,27,2010,10,17,1,44,44,556,1,347,405,215.375,235,75.513,165.513
2,27,2010,10,17,1,45,05,738,1,1981,916,132.231,90,149.556,300.444
2,28,2010,10,17,2,00,43,141,1,1175,210,219.135,20,153.435,296.565
2,28,2010,10,17,2,00,43,141,2,987,126,78.313,200,174.872,264.872
2,28,2010,10,17,2,00,46,316,1,534,216,170.766,240.7568655,165.069,284.931
2,28,2010,10,17,2,00,50,933,1,1516,54,201.219,350.9939453,179.145,269.145
2,28,2010,10,17,2,00,50,933,2,653,1877,160.016,180,6.459,83.541
2,28,2010,10,17,2,00,50,933,3,482,1047,147.031,53.9726243,91.169,358.831
2,28,2010,10,17,2,00,50,933,4,465,1114,117.038,270,1.469,88.531
2,28,2010,10,17,2,00,51,221,1,580,1072,276.531,270,92.49,182.49
2,28,2010,10,17,2,00,51,221,2,1560,303,321.1,210,169.775,280.225
2,28,2010,10,17,2,00,53,240,1,4,144,275.536,45,170.811,279.189
2,28,2010,10,17,2,00,53,240,2,112,1204,160.897,90,55.125,34.875
2,28,2010,10,17,2,00,53,530,1,1234,675,151.988,340,172.405,262.405
2,28,2010,10,17,2,00,53,530,2,1370,570,115.601,20,172.569,277.431
2,28,2010,10,17,2,00,55,665,1,0,1074,292.062,120,51.953,38.047
2,28,2010,10,17,2,00,55,665,2,710,1610,178.213,60,80.961,9.039
2,28,2010,10,17,2,00,55,665,3,384,1328,145.437,320,148.496,238.496
2,28,2010,10,17,2,00,55,665,4,1046,204,111.427,150,21.038,68.962
2,28,2010,10,17,2,00,56,243,1,1264,96,134.715,330,139.214,229.214
2,28,2010,10,17,2,00,56,243,2,1258,272,280.471,300,66.909,156.909
2,28,2010,10,17,2,00,56,243,3,1278,784,210.618,20,157.087,292.913
2,28,2010,10,17,2,00,56,243,4,978,890,130.384,340,138.731,228.731
2,28,2010,10,17,2,00,56,243,5,502,262,214.037,299.2558564,88.929,178.929
2,28,2010,10,17,2,00,56,243,6,1440,1282,176.782,90,158.078,291.922
2,28,2010,10,17,2,00,56,243,7,1074,1792,136.015,350,179.157,269.157
2,28,2010,10,17,2,00,56,243,8,244,928,200,350,163.74,253.74
2,28,2010,10,17,2,00,56,243,9,250,1798,239.366,60,80.38,9.62
2,28,2010,10,17,2,01,00,571,1,662,42,163.866,20,160.017,289.983
2,28,2010,10,17,2,01,00,571,2,1670,740,100,90,90,0
2,28,2010,10,17,2,01,00,571,3,52,510,242.124,180,7.595,82.405
2,28,2010,10,17,2,01,00,571,4,42,1384,206.93,40,147.232,302.768
2,28,2010,10,17,2,01,00,571,5,458,1092,210.238,330,64.654,154.654
2,28,2010,10,17,2,01,00,571,6,1186,554,311.602,30,143.351,306.649
2,28,2010,10,17,2,01,00,571,7,718,1318,195.724,270,101.195,191.195
2,28,2010,10,17,2,01,00,571,8,940,1202,157.277,240,82.694,172.694
2,28,2010,10,17,2,01,00,571,9,1018,1804,217.154,130,49.857,40.143
2,28,2010,10,17,2,01,00,860,1,694,74,192.427,90,37.823,52.177
2,28,2010,10,17,2,01,00,860,2,680,272,216.933,250,102.242,192.242
2,28,2010,10,17,2,01,00,860,3,504,644,185.181,70,117.672,332.328
2,28,2010,10,17,2,01,00,860,4,682,1012,270.769,310,112.587,202.587
2,28,2010,10,17,2,01,00,860,5,890,1266,170.751,300,84.623,174.623
2,28,2010,10,17,2,01,00,860,6,148,908,184.716,30,160.388,289.612
2,28,2010,10,17,2,01,00,860,7,102,1158,190.158,230,14.621,104.621
2,28,2010,10,17,2,01,00,860,8,652,1920,139.714,45,156.371,293.629
2,28,2010,10,17,2,01,00,860,9,1768,1376,134.239,250,86.583,176.583
2,28,2010,10,17,2,01,00,860,10,1850,828,243.319,295,51.34,141.34
2,28,2010,10,17,2,01,01,437,1,314,1190,294.401,150,36.714,53.286
2,28,2010,10,17,2,01,01,437,2,592,1196,166.481,300,128.66,218.66
2,28,2010,10,17,2,01,01,437,3,470,1414,91.082,290,81.158,171.158
2,28,2010,10,17,2,01,01,437,4,1074,1856,145.465,270,71.565,161.565
2,28,2010,10,17,2,01,01,437,5,1306,1396,121.078,160,22.329,67.671
2,28,2010,10,17,2,01,01,437,6,1556,158,163.817,270,17.771,107.771
2,28,2010,10,17,2,01,01,437,7,1120,916,166.517,160,24.102,65.898
2,28,2010,10,17,2,01,01,437,8,328,164,213.026,90,167.53,282.47
2,28,2010,10,17,2,01,02,880,6,480,1314,192.01,60,67.977,22.023
2,28,2010,10,17,2,01,02,880,7,458,878,134.536,290,138.013,228.013
2,28,2010,10,17,2,01,02,880,5,638,1232,188.043,270,91.219,181.219
2,28,2010,10,17,2,01,02,880,2,1136,1026,158.316,270,116.241,206.241
2,28,2010,10,17,2,01,02,880,1,1632,594,155.332,90,145.491,304.509
2,28,2010,10,17,2,01,02,880,3,1390,1854,140,0,180,270
2,28,2010,10,17,2,01,02,880,4,1278,1480,231.465,220,6.45,96.45
2,28,2010,10,17,2,01,02,880,8,862,248,158.619,330,156.991,246.991
2,28,2010,10,17,2,01,02,880,9,1896,1384,208.355,50,158.607,291.393
2,28,2010,10,17,2,01,05,765,1,1258,474,218.961,270,140.932,230.932
2,28,2010,10,17,2,01,05,765,2,518,456,160.86,270,51.563,141.563
2,28,2010,10,17,2,01,05,765,3,484,834,206.94,90,124.765,325.235
2,28,2010,10,17,2,01,05,765,4,1822,1708,175.966,30,148.478,301.522
2,28,2010,10,17,2,01,05,765,5,1704,1882,173.954,90,19.477,70.523
2,28,2010,10,17,2,01,05,765,6,1902,1396,185.311,220,133.688,223.688
2,28,2010,10,17,2,01,05,765,7,912,1668,103.247,240,111.595,201.595
2,28,2010,10,17,2,01,05,765,8,548,1782,114.49,310,160.615,250.615
2,28,2010,10,17,2,01,05,765,9,518,1548,198.806,45,126.409,323.591
2,28,2010,10,17,2,01,05,765,10,248,1040,209.571,45,156.371,293.629
2,28,2010,10,17,2,01,05,765,11,548,758,127.138,130,70.71,19.29
2,28,2010,10,17,2,01,05,765,12,1906,80,147.105,280,43.898,133.898
