"downcast","hour","min","sec","s/1000","H1","H2","H3","H5a","H5b","H6","H7","H7*","H8","H9","H9*","H10","H11","H13","H14","H15","VSH","Annatiara","R1","R2","R3","r4-aegina","R5","Doliolids","Appendicularians","App in Hse","MUAT","LEMU","SPKO","Si 2 Eu","NABI","AGEL","COOR"
22,0,25,2,845,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
22,0,25,2,960,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,3,18,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,3,191,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,3,364,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,4,172,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,4,230,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,
22,0,25,4,576,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,4,692,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,4,922,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,25,4,980,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,25,5,96,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,5,153,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,5,269,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,5,442,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,5,500,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
22,0,25,5,557,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,5,961,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,6,19,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,6,134,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,6,481,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,
22,0,25,6,596,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,6,654,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
22,0,25,6,885,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
22,0,25,6,943,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,7,58,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,25,7,116,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,7,173,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,7,289,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,7,347,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,7,404,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,7,520,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,7,635,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,7,751,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,7,808,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,7,866,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,7,927,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,8,39,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,8,155,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,8,270,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,8,443,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,8,559,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,8,674,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,8,732,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,25,9,482,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,25,9,886,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,10,59,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,10,117,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
22,0,25,10,175,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
22,0,25,10,348,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
22,0,24,54,245,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
22,0,24,55,399,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
22,0,24,56,554,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
22,0,24,57,708,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
22,0,25,0,17,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
22,0,25,2,325,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
22,0,25,3,480,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
22,0,25,4,634,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
22,0,25,6,943,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
22,0,25,8,97,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
22,0,25,9,251,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
22,0,25,10,578,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
22,0,25,10,693,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,25,10,751,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
