downcast,hour,min,sec,s/1000,kow,fri,in.hse,out.hse
15,23,55,41,312,0,1,0,1
15,23,56,16,56,0,1,1,0
15,23,56,18,364,0,1,0,1
15,23,56,53,50,0,2,1,1
15,23,57,1,188,0,1,0,1
15,23,57,9,326,0,1,0,1
15,23,57,19,714,0,1,1,0
15,23,57,30,103,0,1,0,1
15,23,57,37,29,0,1,1,0
15,23,57,38,125,0,1,1,0
15,23,57,42,916,0,1,1,0
15,23,57,45,224,0,1,1,0
15,23,57,49,783,0,2,2,0
15,23,57,57,979,0,1,1,0
15,23,58,1,442,0,1,1,0
15,23,58,15,351,0,1,0,1
15,23,58,22,277,0,1,0,1
15,23,58,24,585,0,1,1,0
15,23,58,35,32,0,3,2,1
15,23,58,39,649,0,1,1,0
15,23,58,54,713,0,1,0,1
15,23,58,59,330,0,1,0,1
15,23,59,3,890,0,1,0,1
15,23,59,10,931,0,1,1,0
15,23,59,16,644,0,1,0,1
15,23,59,36,325,0,1,0,1
15,23,59,49,138,0,1,0,1
15,0,0,5,298,0,1,1,0
15,0,0,25,36,0,1,0,1
15,0,0,33,174,0,1,1,0
15,0,0,40,99,0,1,0,1
15,0,0,43,562,0,1,0,1
15,0,0,47,25,0,1,0,1
