"folder","category","species","year","month","date","hour","min","sec","s/1000","x/300"
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,51,18,125,35
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,51,18,125,149
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,52,27,640,184
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,52,27,640,279
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,52,44,984,162
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,52,44,984,193
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,52,44,984,207.5
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,53,19,828,196
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,53,37,250,75
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,53,37,250,87
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,53,37,250,88
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,53,37,250,242
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,53,37,250,289
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,53,54,468,20
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,53,54,468,21
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,53,54,468,167
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,53,54,468,182
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,53,54,468,285
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,11,843,14
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,11,843,16
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,11,843,24
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,11,843,28
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,11,843,48
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,11,843,98
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,11,843,198
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,11,843,264
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,11,843,267
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,3
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,18
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,61.5
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,64
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,76
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,113
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,142
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,145
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,165
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,197
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,198
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,220
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,29,203,249
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,46,625,10
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,46,625,17
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,46,625,23
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,46,625,89.5
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,54,46,625,106
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,55,3,953,46
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,55,3,953,106
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,55,3,953,255
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,55,21,328,149
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,55,21,328,241
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,55,38,843,61
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,55,56,203,1
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,55,56,203,34
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,55,56,203,180
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,55,56,203,289
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,56,13,546,258
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,56,30,937,127.5
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,56,30,937,196
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,56,48,312,153
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,56,48,312,232
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,56,48,312,251
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,56,48,312,265
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,57,5,718,135.5
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,57,5,718,236
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,57,5,718,282
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,57,5,718,286
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,57,23,187,12
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,57,23,187,256
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,57,57,671,6
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,57,57,671,247
"DC 20 images","O "," Ocyropsis maciluta",2010,10,16,23,58,15,46,245
"DC 20 images","T "," Thalassocalycidae inconstans",2010,10,16,23,51,18,125,15
"DC 20 images","T "," Thalassocalycidae inconstans",2010,10,16,23,51,35,484,280
"DC 20 images","T "," Thalassocalycidae inconstans",2010,10,16,23,53,2,343,181
"DC 20 images","T "," Thalassocalycidae inconstans",2010,10,16,23,53,19,828,75
"DC 20 images","T "," Thalassocalycidae inconstans",2010,10,16,23,55,56,203,212
"DC 20 images","T "," Thalassocalycidae inconstans",2010,10,16,23,56,48,312,233
"DC 20 images","U "," Unknown",2010,10,16,23,48,24,578,218
"DC 20 images","U "," Unknown",2010,10,16,23,49,51,250,56.5
"DC 20 images","U "," Unknown",2010,10,16,23,53,54,468,275
"DC 20 images","U "," Unknown",2010,10,16,23,54,11,843,186
"DC 20 images","U "," Unknown",2010,10,16,23,54,29,203,29
"DC 20 images","U "," Unknown",2010,10,16,23,55,56,203,187
"DC 20 images","U "," Unknown",2010,10,16,23,56,13,546,176
"DC 20 images","U "," Unknown",2010,10,16,23,57,23,187,91
"DC 20 images","V "," Velamen",2010,10,16,23,49,33,984,106
"DC 21 images","B "," Beroida",2010,10,17,0,10,24,671,241
"DC 21 images","B "," Beroida",2010,10,17,0,10,24,671,277
"DC 21 images","B "," Beroida",2010,10,17,0,10,42,46,38
"DC 21 images","B "," Beroida",2010,10,17,0,10,42,46,43
"DC 21 images","B "," Beroida",2010,10,17,0,10,42,46,119
"DC 21 images","B "," Beroida",2010,10,17,0,10,42,46,136
"DC 21 images","B "," Beroida",2010,10,17,0,10,42,46,141
"DC 21 images","B "," Beroida",2010,10,17,0,10,42,46,141
"DC 21 images","B "," Beroida",2010,10,17,0,10,42,46,192
"DC 21 images","B "," Beroida",2010,10,17,0,10,42,46,285
"DC 21 images","B "," Beroida",2010,10,17,0,10,59,421,22
"DC 21 images","B "," Beroida",2010,10,17,0,10,59,421,260
"DC 21 images","B "," Beroida",2010,10,17,0,10,59,421,287
"DC 21 images","B "," Beroida",2010,10,17,0,11,16,796,87
"DC 21 images","B "," Beroida",2010,10,17,0,11,16,796,91
"DC 21 images","B "," Beroida",2010,10,17,0,11,16,796,128
"DC 21 images","B "," Beroida",2010,10,17,0,11,16,796,136
"DC 21 images","B "," Beroida",2010,10,17,0,11,16,796,154
"DC 21 images","B "," Beroida",2010,10,17,0,11,16,796,231
"DC 21 images","B "," Beroida",2010,10,17,0,11,16,796,244
"DC 21 images","B "," Beroida",2010,10,17,0,11,51,531,166
"DC 21 images","B "," Beroida",2010,10,17,0,12,43,656,214
"DC 21 images","B "," Beroida",2010,10,17,0,14,28,62,177
"DC 21 images","C "," Hormiphora californiensis",2010,10,17,0,8,40,593,51
"DC 21 images","C "," Hormiphora californiensis",2010,10,17,0,8,40,593,276
"DC 21 images","C "," Hormiphora californiensis",2010,10,17,0,8,57,953,225
"DC 21 images","C "," Hormiphora californiensis",2010,10,17,0,9,15,187,251
"DC 21 images","C "," Hormiphora californiensis",2010,10,17,0,9,32,562,227.5
"DC 21 images","C "," Hormiphora californiensis",2010,10,17,0,10,42,46,276
"DC 21 images","C "," Hormiphora californiensis",2010,10,17,0,10,59,421,66
"DC 21 images","C "," Hormiphora californiensis",2010,10,17,0,12,8,906,264
"DC 21 images","C "," Hormiphora californiensis",2010,10,17,0,13,53,281,176
"DC 21 images","H "," Haeckelia beehlri",2010,10,17,0,15,37,375,149
"DC 21 images","JL "," Juvenile Lobata",2010,10,17,0,15,20,0,162
"DC 21 images","JL "," Juvenile Lobata",2010,10,17,0,15,37,375,149
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,10,24,671,281
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,10,59,421,33
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,11,34,156,7
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,11,34,156,81
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,11,34,156,128
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,11,34,156,128
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,11,51,531,86
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,11,51,531,116
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,12,26,281,102
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,12,26,281,242
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,12,26,281,246
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,10,42,46,15
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,10,59,421,19
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,10,59,421,265
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,10,59,421,281
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,11,16,796,12
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,11,16,796,252
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,11,34,156,284
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,12,26,281,187
"DC 21 images","LL "," Larval Lobata",2010,10,17,0,12,43,656,294
"DC 21 images","M "," Mertensid",2010,10,17,0,9,32,562,151
"DC 21 images","M "," Mertensid",2010,10,17,0,10,42,46,49
"DC 21 images","M "," Mertensid",2010,10,17,0,10,59,421,197
"DC 21 images","M "," Mertensid",2010,10,17,0,11,16,796,196
"DC 21 images","M "," Mertensid",2010,10,17,0,12,26,281,94
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,11,34,156,95
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,11,34,156,184
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,12,43,656,95
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,12,43,656,223
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,12,43,656,254
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,12,43,656,285
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,1,15,7
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,1,15,87
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,1,15,94
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,1,15,110
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,1,15,130
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,1,15,142
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,1,15,163
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,1,15,207
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,1,15,218
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,1,15,244
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,18,390,89
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,18,390,146
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,35,781,121
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,35,781,247
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,35,781,271
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,13,53,281,228
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,14,10,671,34
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,14,10,671,40
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,14,28,62,10
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,14,28,62,24
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,14,28,62,108
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,15,2,625,178
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,15,20,0,182
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,15,37,375,148
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,15,37,375,196
"DC 21 images","O "," Ocyropsis maciluta",2010,10,17,0,15,54,750,49
"DC 21 images","T "," Thalassocalycidae inconstans",2010,10,17,0,10,59,421,225
"DC 21 images","T "," Thalassocalycidae inconstans",2010,10,17,0,11,34,156,98
"DC 21 images","T "," Thalassocalycidae inconstans",2010,10,17,0,11,34,156,262
"DC 21 images","T "," Thalassocalycidae inconstans",2010,10,17,0,12,43,656,11
"DC 21 images","T "," Thalassocalycidae inconstans",2010,10,17,0,12,43,656,12
"DC 21 images","T "," Thalassocalycidae inconstans",2010,10,17,0,13,35,781,28
"DC 21 images","T "," Thalassocalycidae inconstans",2010,10,17,0,15,37,375,60
"DC 21 images","T "," Thalassocalycidae inconstans",2010,10,17,0,15,37,375,119
"DC 21 images","U "," Unknown",2010,10,17,0,8,40,593,213
"DC 21 images","U "," Unknown",2010,10,17,0,9,49,937,221
"DC 21 images","U "," Unknown",2010,10,17,0,10,24,671,148
"DC 21 images","U "," Unknown",2010,10,17,0,10,59,421,73
"DC 21 images","U "," Unknown",2010,10,17,0,11,34,156,279
"DC 21 images","U "," Unknown",2010,10,17,0,12,26,281,170
"DC 21 images","U "," Unknown",2010,10,17,0,13,35,781,31
"DC 21 images","U "," Unknown",2010,10,17,0,13,35,781,157
"DC 21 images","U "," Unknown",2010,10,17,0,13,53,281,128
"DC 21 images","V "," Velamen",2010,10,17,0,9,15,187,87
"DC 21 images","V "," Velamen",2010,10,17,0,9,32,562,175
"DC 22 images","B "," Beroida",2010,10,17,0,26,20,203,113
"DC 22 images","B "," Beroida",2010,10,17,0,26,37,640,228
"DC 22 images","B "," Beroida",2010,10,17,0,26,54,968,83
"DC 22 images","B "," Beroida",2010,10,17,0,26,54,968,91
"DC 22 images","B "," Beroida",2010,10,17,0,26,54,968,144
"DC 22 images","B "," Beroida",2010,10,17,0,26,54,968,205
"DC 22 images","B "," Beroida",2010,10,17,0,27,12,359,7
"DC 22 images","B "," Beroida",2010,10,17,0,27,12,359,86
"DC 22 images","B "," Beroida",2010,10,17,0,27,12,359,246
"DC 22 images","B "," Beroida",2010,10,17,0,27,29,750,37
"DC 22 images","B "," Beroida",2010,10,17,0,27,29,750,86
"DC 22 images","B "," Beroida",2010,10,17,0,27,29,750,111
"DC 22 images","B "," Beroida",2010,10,17,0,27,29,750,157
"DC 22 images","B "," Beroida",2010,10,17,0,27,29,750,205.5
"DC 22 images","B "," Beroida",2010,10,17,0,27,29,750,247
"DC 22 images","B "," Beroida",2010,10,17,0,27,29,750,253
"DC 22 images","B "," Beroida",2010,10,17,0,27,47,125,52
"DC 22 images","B "," Beroida",2010,10,17,0,27,47,125,137
"DC 22 images","B "," Beroida",2010,10,17,0,28,4,562,29
"DC 22 images","B "," Beroida",2010,10,17,0,28,4,562,256
"DC 22 images","B "," Beroida",2010,10,17,0,28,39,109,106
"DC 22 images","B "," Beroida",2010,10,17,0,30,6,125,235
"DC 22 images","B "," Beroida",2010,10,17,0,31,32,968,100
"DC 22 images","B "," Beroida",2010,10,17,0,31,32,968,230
"DC 22 images","BO "," Bolinopsis",2010,10,17,0,27,29,750,209
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,25,10,671,1
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,25,28,46,105
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,25,28,46,147
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,25,28,46,289
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,25,45,515,134
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,25,45,515,199
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,25,45,515,211
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,25,45,515,286
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,26,2,828,78
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,26,2,828,82
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,26,2,828,92
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,26,2,828,254
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,26,37,640,142
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,26,37,640,290
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,27,29,750,215
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,27,47,125,116
"DC 22 images","C "," Hormiphora californiensis",2010,10,17,0,28,4,562,142
"DC 22 images","H "," Haeckelia beehlri",2010,10,17,0,26,37,640,96
"DC 22 images","JL "," Juvenile Lobata",2010,10,17,0,29,13,859,169
"DC 22 images","JL "," Juvenile Lobata",2010,10,17,0,29,31,234,183
"DC 22 images","JL "," Juvenile Lobata",2010,10,17,0,29,48,640,186
"DC 22 images","JL "," Juvenile Lobata",2010,10,17,0,30,6,125,69
"DC 22 images","JL "," Juvenile Lobata",2010,10,17,0,30,23,375,235
"DC 22 images","JL "," Juvenile Lobata",2010,10,17,0,31,50,281,156
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,27,12,359,61
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,27,29,750,22
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,27,29,750,123
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,27,47,125,27
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,27,47,125,94
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,27,47,125,219
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,28,4,562,32
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,28,4,562,73
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,28,4,562,142
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,28,4,562,246
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,28,4,562,251
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,28,21,750,71
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,28,21,750,162
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,28,39,109,1
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,28,39,109,32
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,29,13,859,83
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,29,13,859,196
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,29,31,234,168
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,29,31,234,249
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,30,6,125,89
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,30,40,718,161
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,29,13,859,150
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,29,13,859,269
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,29,13,859,287
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,29,31,234,59
"DC 22 images","LL "," Larval Lobata",2010,10,17,0,30,40,718,3
"DC 22 images","M "," Mertensid",2010,10,17,0,26,2,828,104
"DC 22 images","M "," Mertensid",2010,10,17,0,26,54,968,278
"DC 22 images","M "," Mertensid",2010,10,17,0,27,29,750,162
"DC 22 images","M "," Mertensid",2010,10,17,0,27,47,125,59
"DC 22 images","M "," Mertensid",2010,10,17,0,31,50,281,115
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,27,47,125,128
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,27,47,125,136
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,27,47,125,231
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,28,21,750,275
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,28,39,109,288
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,28,56,484,254.5
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,28,56,484,282
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,28,56,484,289
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,13,859,20
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,13,859,34
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,13,859,69
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,13,859,70
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,13,859,150
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,13,859,203
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,13,859,244
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,31,234,228
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,31,234,230
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,31,234,233
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,31,234,260
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,29,48,640,178
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,6,125,25
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,40,718,27
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,40,718,37
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,40,718,59
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,40,718,97
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,40,718,137
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,40,718,146
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,40,718,191
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,40,718,191
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,40,718,199
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,40,718,279
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,58,93,14
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,58,93,39
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,58,93,103
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,58,93,158
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,30,58,93,254
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,31,15,500,228
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,31,32,968,56
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,31,50,281,39
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,31,50,281,59
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,31,50,281,89
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,32,7,843,10
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,32,7,843,48
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,32,7,843,63
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,32,25,0,56
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,32,25,0,157
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,32,25,0,238
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,32,25,0,291
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,32,42,578,222
"DC 22 images","O "," Ocyropsis maciluta",2010,10,17,0,33,17,171,210
"DC 22 images","T "," Thalassocalycidae inconstans",2010,10,17,0,27,12,359,222
"DC 22 images","T "," Thalassocalycidae inconstans",2010,10,17,0,28,4,562,71
"DC 22 images","T "," Thalassocalycidae inconstans",2010,10,17,0,28,56,484,214
"DC 22 images","T "," Thalassocalycidae inconstans",2010,10,17,0,29,13,859,173
"DC 22 images","T "," Thalassocalycidae inconstans",2010,10,17,0,29,48,640,60
"DC 22 images","T "," Thalassocalycidae inconstans",2010,10,17,0,30,6,125,81
"DC 22 images","T "," Thalassocalycidae inconstans",2010,10,17,0,30,6,125,171.5
"DC 22 images","T "," Thalassocalycidae inconstans",2010,10,17,0,30,58,93,158
"DC 22 images","T "," Thalassocalycidae inconstans",2010,10,17,0,31,15,500,152
"DC 22 images","T "," Thalassocalycidae inconstans",2010,10,17,0,32,7,843,125
"DC 22 images","U "," Unknown",2010,10,17,0,32,42,578,7
"DC 22 images","V "," Velamen",2010,10,17,0,25,28,46,182
"DC 22 images","V "," Velamen",2010,10,17,0,29,48,640,279
"DC 23 images","B "," Beroida",2010,10,17,0,42,32,968,78
"DC 23 images","B "," Beroida",2010,10,17,0,42,32,968,111
"DC 23 images","B "," Beroida",2010,10,17,0,42,50,343,170.5
"DC 23 images","B "," Beroida",2010,10,17,0,42,50,343,263
"DC 23 images","B "," Beroida",2010,10,17,0,42,50,343,296
"DC 23 images","B "," Beroida",2010,10,17,0,42,50,343,298
"DC 23 images","B "," Beroida",2010,10,17,0,42,50,343,300
"DC 23 images","B "," Beroida",2010,10,17,0,43,25,93,75
"DC 23 images","B "," Beroida",2010,10,17,0,43,42,468,105
"DC 23 images","B "," Beroida",2010,10,17,0,43,42,468,134
"DC 23 images","B "," Beroida",2010,10,17,0,43,42,468,219
"DC 23 images","B "," Beroida",2010,10,17,0,43,42,468,262
"DC 23 images","B "," Beroida",2010,10,17,0,44,17,312,280
"DC 23 images","B "," Beroida",2010,10,17,0,45,26,796,65
"DC 23 images","B "," Beroida",2010,10,17,0,45,26,796,247
"DC 23 images","BO "," Bolinopsis",2010,10,17,0,48,37,890,112
"DC 23 images","C "," Hormiphora californiensis",2010,10,17,0,41,23,656,201
"DC 23 images","C "," Hormiphora californiensis",2010,10,17,0,41,58,328,232
"DC 23 images","C "," Hormiphora californiensis",2010,10,17,0,42,15,781,42
"DC 23 images","C "," Hormiphora californiensis",2010,10,17,0,42,15,781,190
"DC 23 images","C "," Hormiphora californiensis",2010,10,17,0,42,15,781,286
"DC 23 images","H "," Haeckelia beehlri",2010,10,17,0,42,15,781,227
"DC 23 images","H "," Haeckelia beehlri",2010,10,17,0,42,32,968,207
"DC 23 images","H "," Haeckelia beehlri",2010,10,17,0,45,9,437,18
"DC 23 images","JL "," Juvenile Lobata",2010,10,17,0,45,9,437,14
"DC 23 images","JL "," Juvenile Lobata",2010,10,17,0,45,26,796,19
"DC 23 images","LL "," Larval Lobata",2010,10,17,0,41,23,656,226
"DC 23 images","LL "," Larval Lobata",2010,10,17,0,43,25,93,96
