downcast,hour,min,sec,s/1000,H1,H2,H3,H5a,H5b,H6,H7,H7*,H8,H9,H9*,H10,H11,H13,H14,H15,VSH,Annatiara,R1,R2,R3,r4-aegina,R5,Doliolids,Appendicularians,App in Hse,MUAT,LEMU,SPKO,Si 2 Eu,NABI,AGEL,COOR
28,2,0,38,293,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,39,217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,0,39,679,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,41,295,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,0,42,911,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,0,44,123,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,0,44,700,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,45,912,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
28,2,0,47,8,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,47,354,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,0,48,566,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,0,49,317,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,49,605,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,50,586,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,51,337,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
28,2,0,52,260,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,0,52,433,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
28,2,0,53,299,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,0,53,357,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,53,876,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,0,54,338,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,54,973,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,55,608,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,56,935,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,57,108,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,58,32,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,0,58,436,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,1,1,437,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,1,1,956,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,1,2,14,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,1,2,303,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,1,3,111,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,1,3,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
28,2,1,3,341,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,1,3,688,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,1,4,726,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,1,5,246,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,1,7,554,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
28,2,1,7,612,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
28,2,1,7,843,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,1,10,786,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
28,2,1,11,190,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
